Customer ID,Order Date,Ship Date,Ship Mode,Product ID,Category,Sub-Category,Product Name,Price,Customer Name,Segment,Country,City,State,Postal Code,Region
CG-12520,2016-11-08,2016-11-11,Second Class,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,1091,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South
DV-13045,2016-11-08,2016-11-11,Second Class,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2979,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South
CM-12655,2016-06-12,2016-06-16,Second Class,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,1289,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West
AS-10240,2015-10-11,2015-10-18,Standard Class,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1002,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South
HE-14800,2015-10-11,2015-10-18,Standard Class,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,3068,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South
CG-12521,2014-06-09,2014-06-14,Standard Class,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",1480,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
DV-13046,2014-06-09,2014-06-14,Standard Class,OFF-AR-10002833,Office Supplies,Art,Newell 322,1345,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
CM-12656,2014-06-09,2014-06-14,Standard Class,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,4109,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
AS-10241,2014-06-09,2014-06-14,Standard Class,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2532,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
HE-14801,2014-06-09,2014-06-14,Standard Class,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,1328,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
